t,U,U_cap,cap_scale,gamma,gamma_raw,p_anchor,p_risk,lam_bar,CLP,sum_CC,coverage,r_pool_eff,n_hacks,claims,paid,forfeited,shortfall,mean_h,mean_p,exp_hacks,insured_frac,fp_iters,fp_conv,eps_stage,seed
0,18.550286605238266,20.34943101853157,1.0,0.5346688973426004,0.9903378842601283,0.00498752080731768,0.0025241635247594714,0.005056306678682374,389.37386599436206,2914.56055019344,4637.571651309567,0.1,1,13.475478888926508,13.475478888926508,12.849094134640989,0.0,0.9653333333333334,0.0012569613215707486,0.6284806607853742,1.0,13,True,1.8661738820924256e-12,1000
1,13.344063050140036,21.7261134321297,1.0,0.4412630498553648,0.7862262005295095,0.003992010656008516,0.0020685968329987596,0.0041425509924858,534.7198277741971,3653.972693087976,5195.829417905545,0.1,0,0.0,0.0,0.0,0.0,1.0653333333333335,0.0010295743101556081,0.514787155077804,1.0,9,True,1.4654943925052066e-13,1000
2,9.925608333959778,21.7261134321297,1.0,0.3881802647890801,0.6525024924340737,0.003992010656008516,0.002103972013529132,0.004213486302037408,695.7628436773613,3782.479444099833,5307.419578889108,0.1,1,2.475375195887956,2.475375195887956,32.10468676716856,0.0,1.0953333333333335,0.0010470194496366653,0.5235097248183327,1.0,5,True,6.676814656714214e-11,1000
3,7.887020153708625,21.7261134321297,1.0,0.3574170475770285,0.5690677342054966,0.003992010656008516,0.002081757220019598,0.004168940204457672,824.042766110645,4077.374381878329,5487.495570284972,0.1,0,0.0,0.0,0.0,0.0,1.1273333333333333,0.0010360971413501043,0.5180485706750522,1.0,8,True,1.8349766151004587e-12,1000
4,6.813708499035182,21.01395432187773,1.0,0.3357659646426758,0.509617679627847,0.004489890170429445,0.002126602338873385,0.004258866917346461,956.6858980369855,4265.334900485925,5614.787199016562,0.1,1,14.115495293884308,14.115495293884308,20.877118191852084,0.0,1.15,0.0010584920882299414,0.5292460441149707,1.0,8,True,7.265272827794433e-10,1000
5,5.973522144845167,21.01395432187773,1.0,0.32972156471555725,0.4802490104505403,0.004489890170429445,0.002181129064886634,0.004368214703328881,1081.6967975992925,4382.138297084597,5714.784397585018,0.1,0,0.0,0.0,0.0,0.0,1.1733333333333336,0.0010856141483204006,0.5428070741602004,1.0,4,True,8.614495783376697e-10,1000
6,5.372639704222828,21.01395432187773,1.0,0.32676508625143097,0.45963618991584987,0.004489890170429445,0.0022254558575824147,0.0044571130684194,1211.9261601193405,4497.108605058674,5811.567162712643,0.1,1,25.00647880691698,25.00647880691698,26.860820144889356,0.0,1.2,0.0011076372793583245,0.5538186396791622,1.0,4,True,8.555138819588137e-10,1000
7,4.875183289330292,21.01395432187773,1.0,0.3257395322951536,0.4432649834811152,0.004489890170429445,0.0022714158351954455,0.00454929203556539,1416.8464155402992,4608.65116905649,5908.362163716036,0.1,1,14.194718386365032,14.194718386365032,87.48559458997791,0.0,1.2246666666666666,0.0011305500795413426,0.5652750397706713,1.0,4,True,1.0134115768778429e-12,1000
0,18.679260205488493,19.14537277845424,1.0,0.5342762728628335,0.9911503972262237,0.005982035946064723,0.002952068766784466,0.005915055528149727,386.6500305051939,2979.884503810616,4669.815051372123,0.1,0,0.0,0.0,0.0,0.0,0.9786666666666665,0.0014697166025910374,0.7348583012955188,1.0,13,True,1.8189894035458565e-12,1001
1,13.771979924540895,21.01395432187773,1.0,0.44723454895765336,0.8033783632298884,0.004489890170429445,0.0023270573411746324,0.004660895724159621,550.6079109131015,3858.019110000579,5324.936457940656,0.1,1,3.7371338802131886,3.7371338802131886,14.426673185813955,0.0,1.1046666666666667,0.0011576342850064959,0.5788171425032479,1.0,10,True,4.433786671143025e-12,1001
